Country name,Ladder score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,% gdp,% social support,% life expectancy,% freedom,% genorisity,% CORRUPTION,% residual,,,,
Kazakhstan,6.152,1.230,1.103,0.527,0.573,0.143,0.132,2.446,19.988,17.927,8.561,9.312,2.319,2.138,39.756,,,,
Romania,6.140,1.275,0.832,0.595,0.564,0.045,0.001,2.830,20.760,13.551,9.683,9.182,0.730,0.011,46.084,,,,
Kuwait,6.106,1.461,0.857,0.580,0.591,0.120,0.130,2.368,23.924,14.027,9.502,9.672,1.966,2.121,38.788,,,,
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066,2.682,18.114,15.199,10.427,7.924,3.116,1.092,44.127,,,,
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116,0.160,3.085,13.942,11.133,9.315,10.156,1.915,2.642,50.897,,,,
Mauritius,6.049,1.178,0.996,0.574,0.590,0.153,0.096,2.462,19.480,16.466,9.488,9.760,2.524,1.585,40.697,,,,
Latvia,6.032,1.285,1.047,0.587,0.405,0.082,0.089,2.536,21.311,17.364,9.723,6.714,1.364,1.475,42.048,,,,
Colombia,6.012,1.021,0.866,0.615,0.554,0.100,0.063,2.794,16.977,14.398,10.227,9.213,1.664,1.044,46.476,,,,
Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.040,2.432,21.708,18.081,10.262,7.579,1.110,0.672,40.587,,,,
Thailand,5.985,1.107,0.957,0.596,0.611,0.375,0.028,2.309,18.502,15.996,9.958,10.213,6.273,0.469,38.588,,,,
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176,2.841,11.612,15.142,10.114,9.252,3.362,2.945,47.575,,,,
Japan,5.940,1.389,0.949,0.838,0.504,0.020,0.192,2.048,23.384,15.979,14.115,8.480,0.329,3.236,34.476,,,,
Argentina,5.929,1.162,0.980,0.646,0.544,0.069,0.067,2.461,19.600,16.526,10.901,9.168,1.171,1.133,41.501,,,,
Portugal,5.929,1.323,0.939,0.760,0.621,0.029,0.033,2.225,22.309,15.840,12.813,10.466,0.481,0.559,37.531,,,,
Honduras,5.919,0.703,0.787,0.593,0.578,0.241,0.083,2.934,11.881,13.296,10.015,9.771,4.068,1.407,49.563,,,,
Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0.000,2.325,21.276,17.658,11.952,7.695,1.891,0.000,39.529,,,,
Philippines,5.880,0.853,0.828,0.426,0.651,0.125,0.126,2.872,14.499,14.074,7.242,11.076,2.122,2.143,48.843,,,,
South Korea,5.845,1.403,0.758,0.801,0.353,0.134,0.135,2.262,23.999,12.968,13.697,6.042,2.287,2.316,38.691,,,,
Peru,5.840,0.986,0.833,0.623,0.536,0.087,0.031,2.744,16.890,14.263,10.664,9.173,1.497,0.526,46.987,,,,
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2.583,17.758,15.804,10.630,6.795,4.496,0.089,44.428,,,,
Moldova,5.766,0.985,0.888,0.542,0.536,0.137,0.013,2.665,17.077,15.400,9.406,9.292,2.370,0.234,46.221,,,,
Ecuador,5.764,0.935,0.806,0.640,0.560,0.107,0.062,2.653,16.230,13.990,11.104,9.720,1.861,1.071,46.024,,,,
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.020,2.648,11.576,16.897,8.731,11.711,4.628,0.351,46.105,,,,
Greece,5.723,1.273,0.811,0.760,0.243,0.000,0.074,2.561,22.244,14.179,13.276,4.253,0.000,1.295,44.752,,,,
Bolivia,5.716,0.842,0.782,0.486,0.600,0.138,0.064,2.805,14.733,13.677,8.498,10.493,2.406,1.119,49.073,,,,
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053,2.492,17.015,18.753,7.779,6.985,4.638,0.931,43.899,,,,
Paraguay,5.653,0.983,0.970,0.549,0.602,0.206,0.037,2.306,17.385,17.168,9.707,10.649,3.650,0.651,40.791,,,,
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081,2.254,20.689,15.972,11.412,7.112,2.968,1.452,40.394,,,,
Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101,0.144,2.178,19.954,15.857,10.010,10.485,1.822,2.590,39.281,,,,
North Cyprus,5.536,1.377,0.806,0.801,0.503,0.196,0.200,1.653,24.872,14.561,14.463,9.091,3.539,3.609,29.868,,,,
Belarus,5.534,1.124,1.007,0.560,0.326,0.070,0.199,2.247,20.317,18.201,10.117,5.891,1.271,3.603,40.599,,,,
Russia,5.477,1.241,0.992,0.511,0.409,0.115,0.060,2.148,22.666,18.109,9.330,7.471,2.105,1.103,39.215,,,,
Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.232,0.342,1.236,27.845,15.351,16.299,7.444,4.234,6.249,22.576,,,,
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247,2.619,9.302,16.367,9.105,10.023,2.773,4.511,47.918,,,,
Vietnam,5.411,0.817,0.873,0.616,0.679,0.124,0.091,2.211,15.095,16.130,11.383,12.545,2.297,1.684,40.865,,,,
Libya,5.410,1.044,0.821,0.435,0.474,0.131,0.174,2.331,19.288,15.173,8.046,8.756,2.430,3.215,43.091,,,,
Malaysia,5.384,1.259,0.797,0.587,0.624,0.270,0.064,1.784,23.378,14.808,10.894,11.591,5.009,1.185,33.136,,,,
Indonesia,5.345,0.954,0.786,0.433,0.598,0.541,0.046,1.987,17.843,14.704,8.108,11.182,10.127,0.859,37.178,,,,
Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144,0.124,3.476,9.692,7.334,5.744,7.130,2.694,2.324,65.082,,,,
China,5.339,1.061,0.785,0.665,0.636,0.093,0.117,1.982,19.879,14.694,12.456,11.909,1.738,2.197,37.127,,,,
Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177,0.092,3.469,12.614,7.706,0.971,8.249,3.340,1.741,65.377,,,,
Armenia,5.283,0.996,0.758,0.585,0.540,0.079,0.198,2.127,18.862,14.348,11.076,10.218,1.488,3.741,40.265,,,,
Nepal,5.269,0.519,0.702,0.496,0.488,0.287,0.135,2.642,9.845,13.331,9.417,9.255,5.450,2.564,50.138,,,,
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005,1.823,22.428,20.031,11.079,9.385,2.374,0.088,34.614,,,,
Maldives,5.198,1.115,1.015,0.697,0.575,0.204,0.073,1.520,21.447,19.530,13.405,11.055,3.918,1.407,29.238,,,,
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276,1.919,19.820,16.266,10.463,10.176,0.828,5.339,37.109,,,,
Cameroon,5.142,0.543,0.556,0.159,0.425,0.205,0.058,3.195,10.557,10.823,3.085,8.270,3.981,1.138,62.145,,,,
Senegal,5.132,0.518,0.558,0.357,0.381,0.158,0.088,3.071,10.095,10.871,6.950,7.433,3.078,1.722,59.852,,,,
Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024,2.250,19.697,10.337,12.630,9.594,3.292,0.478,43.972,,,,
North Macedonia,5.101,1.068,0.772,0.535,0.450,0.212,0.022,2.042,20.943,15.125,10.493,8.813,4.165,0.427,40.036,,,,
Ghana,5.088,0.680,0.595,0.287,0.517,0.268,0.058,2.684,13.354,11.696,5.638,10.158,5.276,1.142,52.738,,,,
Niger,5.074,0.162,0.402,0.167,0.516,0.200,0.157,3.470,3.183,7.927,3.291,10.177,3.942,3.102,68.379,,,,
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033,1.409,20.646,23.135,8.660,11.887,7.223,0.646,27.802,,,,
Gambia,5.051,0.367,0.511,0.210,0.384,0.465,0.123,2.990,7.267,10.126,4.167,7.596,9.199,2.442,59.205,,,,
Benin,5.045,0.507,0.058,0.196,0.457,0.166,0.178,3.482,10.052,1.157,3.892,9.062,3.289,3.522,69.026,,,,
