,Life Ladder,Log GDP per capita
226,6.981,9.664
227,6.547000000000001,9.62
228,6.375,9.578
229,6.332999999999999,9.583
230,6.191,9.589
231,6.4510000000000005,9.592
232,6.11,9.522
233,3.844,9.715
234,3.912,9.765
235,3.875,9.795
236,4.2219999999999995,9.804
237,3.9930000000000003,9.812999999999999
238,4.438,9.838
239,4.865,9.883
240,4.838,9.927999999999999
241,5.0969999999999995,9.969
242,5.099,10.007
243,5.1080000000000005,10.047
244,5.598,9.991
245,3.801,7.367000000000001
246,4.0169999999999995,7.377000000000001
247,3.846,7.403
248,4.0360000000000005,7.452999999999999
249,4.785,7.487
250,3.955,7.52
251,3.326,7.546
252,3.4810000000000003,7.559
253,4.419,7.568
254,4.206,7.596
255,4.647,7.627000000000001
256,4.927,7.665
257,4.7410000000000005,7.691
258,3.563,6.718999999999999
259,3.792,6.723
260,3.7060000000000004,6.747999999999999
261,2.905,6.787000000000001
262,3.775,6.635
263,3.569,7.746
264,4.156000000000001,7.829
265,4.462,7.879
266,4.111000000000001,7.865
267,4.141,7.907
268,4.1610000000000005,7.96
269,3.8989999999999996,8.014
270,3.674,8.068
271,3.883,8.121
272,4.162,8.173
273,4.461,8.225
274,4.586,8.276
275,5.122000000000001,8.333
276,4.998,8.387
277,4.377,8.362
278,3.8510000000000004,8.007
279,4.35,8.027999999999999
280,4.292,8.033999999999999
281,4.7410000000000005,8.029
282,4.553999999999999,8.035
283,4.434,8.048
284,4.245,8.065
285,4.271,8.09
286,4.24,8.12
287,5.038,8.149
288,4.816,8.167
289,5.074,8.176
290,5.251,8.19
291,4.937,8.203
292,5.2410000000000005,8.175
293,7.417999999999999,10.652000000000001
294,7.482,10.739
295,7.486000000000001,10.738
296,7.4879999999999995,10.697000000000001
297,7.65,10.717
298,7.426,10.738
299,7.415,10.744000000000002
300,7.593999999999999,10.757
301,7.303999999999999,10.775
302,7.412999999999999,10.774000000000001
303,7.245,10.773
304,7.415,10.792
305,7.175,10.798
306,7.109,10.8
307,7.025,10.73
308,4.16,6.987
309,3.568,7.091
310,3.678,7.125
311,2.693,6.785
312,3.4760000000000004,6.817
313,3.435,7.36
314,4.141,7.359
315,4.632,7.356
316,3.639,7.364
317,3.7430000000000003,7.457000000000001
318,4.393,7.425
319,4.033,7.476
320,3.508,7.497999999999999
321,3.46,7.532
322,4.323,7.527
323,4.029,7.431
324,4.559,7.37
325,4.486000000000001,7.3629999999999995
326,4.251,7.365
327,6.063,9.85
328,5.6979999999999995,9.887
329,5.789,9.911
330,6.494,9.885
331,6.636,9.931000000000001
332,6.526,9.98
333,6.599,10.023
334,6.74,10.052999999999999
335,6.843999999999999,10.059
336,6.5329999999999995,10.07
337,6.579,10.074
338,6.32,10.072000000000001
339,6.436,10.097000000000001
340,5.942,10.095
341,6.151,10.02
342,4.56,8.696
343,4.863,8.824
344,4.846,8.911
345,4.454,8.996
346,4.6530000000000005,9.092
347,5.037,9.179
348,5.095,9.249
349,5.2410000000000005,9.318999999999999
350,5.196000000000001,9.386000000000001
351,5.303999999999999,9.449
352,5.325,9.51
353,5.099,9.571
354,5.131,9.632
355,5.144,9.687999999999999
356,5.771,9.702
357,6.025,9.277000000000001
358,6.138,9.33
359,6.167999999999999,9.351
360,6.272,9.351
361,6.4079999999999995,9.384
362,6.4639999999999995,9.442
363,6.375,9.471
364,6.607,9.512
365,6.449,9.546
366,6.388,9.564
