Country name,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,,,,,,,,,,,,,
North Cyprus,0.806,0.801,0.503,0.196,0.200,1.653,,,,,,,,,,,,,
Belarus,1.007,0.560,0.326,0.070,0.199,2.247,,,,,,,,,,,,,
Russia,0.992,0.511,0.409,0.115,0.060,2.148,,,,,,,,,,,,,
Hong Kong S.A.R. of China,0.841,0.893,0.408,0.232,0.342,1.236,,,,,,,,,,,,,
Tajikistan,0.895,0.498,0.548,0.152,0.247,2.619,,,,,,,,,,,,,
Vietnam,0.873,0.616,0.679,0.124,0.091,2.211,,,,,,,,,,,,,
Libya,0.821,0.435,0.474,0.131,0.174,2.331,,,,,,,,,,,,,
Malaysia,0.797,0.587,0.624,0.270,0.064,1.784,,,,,,,,,,,,,
Indonesia,0.786,0.433,0.598,0.541,0.046,1.987,,,,,,,,,,,,,
Congo (Brazzaville),0.392,0.307,0.381,0.144,0.124,3.476,,,,,,,,,,,,,
China,0.785,0.665,0.636,0.093,0.117,1.982,,,,,,,,,,,,,
Ivory Coast,0.409,0.052,0.438,0.177,0.092,3.469,,,,,,,,,,,,,
Armenia,0.758,0.585,0.540,0.079,0.198,2.127,,,,,,,,,,,,,
Nepal,0.702,0.496,0.488,0.287,0.135,2.642,,,,,,,,,,,,,
Bulgaria,1.055,0.583,0.494,0.125,0.005,1.823,,,,,,,,,,,,,
Maldives,1.015,0.697,0.575,0.204,0.073,1.520,,,,,,,,,,,,,
Azerbaijan,0.841,0.541,0.526,0.043,0.276,1.919,,,,,,,,,,,,,
Cameroon,0.556,0.159,0.425,0.205,0.058,3.195,,,,,,,,,,,,,
Senegal,0.558,0.357,0.381,0.158,0.088,3.071,,,,,,,,,,,,,
Albania,0.529,0.646,0.491,0.168,0.024,2.250,,,,,,,,,,,,,
North Macedonia,0.772,0.535,0.450,0.212,0.022,2.042,,,,,,,,,,,,,
Ghana,0.595,0.287,0.517,0.268,0.058,2.684,,,,,,,,,,,,,
Niger,0.402,0.167,0.516,0.200,0.157,3.470,,,,,,,,,,,,,
Turkmenistan,1.172,0.439,0.602,0.366,0.033,1.409,,,,,,,,,,,,,
Gambia,0.511,0.210,0.384,0.465,0.123,2.990,,,,,,,,,,,,,
Benin,0.058,0.196,0.457,0.166,0.178,3.482,,,,,,,,,,,,,
Laos,0.598,0.330,0.643,0.268,0.179,2.204,,,,,,,,,,,,,
Bangladesh,0.520,0.514,0.603,0.161,0.164,2.427,,,,,,,,,,,,,
Guinea,0.399,0.206,0.384,0.250,0.111,3.216,,,,,,,,,,,,,
South Africa,0.895,0.265,0.447,0.144,0.051,2.187,,,,,,,,,,,,,
Turkey,0.809,0.590,0.236,0.097,0.104,1.852,,,,,,,,,,,,,
Pakistan,0.423,0.322,0.418,0.252,0.097,2.784,,,,,,,,,,,,,
Morocco,0.219,0.558,0.477,0.034,0.088,2.749,,,,,,,,,,,,,
Venezuela,0.897,0.574,0.284,0.078,0.072,2.135,,,,,,,,,,,,,
Georgia,0.470,0.498,0.488,0.032,0.181,2.191,,,,,,,,,,,,,
Algeria,0.765,0.552,0.119,0.144,0.120,2.242,,,,,,,,,,,,,
Ukraine,0.958,0.517,0.417,0.181,0.010,1.813,,,,,,,,,,,,,
Iraq,0.638,0.381,0.302,0.153,0.041,2.429,,,,,,,,,,,,,
Gabon,0.707,0.362,0.424,0.058,0.064,2.201,,,,,,,,,,,,,
Burkina Faso,0.472,0.179,0.381,0.182,0.122,3.133,,,,,,,,,,,,,
Cambodia,0.680,0.426,0.702,0.210,0.061,2.148,,,,,,,,,,,,,
Mozambique,0.634,0.196,0.608,0.228,0.163,2.783,,,,,,,,,,,,,
Nigeria,0.625,0.051,0.433,0.212,0.039,2.736,,,,,,,,,,,,,
Mali,0.590,0.110,0.384,0.164,0.072,3.016,,,,,,,,,,,,,
Iran,0.557,0.561,0.275,0.330,0.144,1.823,,,,,,,,,,,,,
Uganda,0.718,0.240,0.398,0.267,0.054,2.596,,,,,,,,,,,,,
Liberia,0.580,0.253,0.430,0.221,0.057,2.857,,,,,,,,,,,,,
Kenya,0.508,0.385,0.483,0.375,0.073,2.180,,,,,,,,,,,,,
Tunisia,0.515,0.590,0.334,0.057,0.044,2.138,,,,,,,,,,,,,
Lebanon,0.868,0.595,0.175,0.140,0.026,1.736,,,,,,,,,,,,,
Namibia,0.801,0.262,0.411,0.091,0.059,2.068,,,,,,,,,,,,,
Palestinian Territories,0.819,0.434,0.330,0.082,0.075,2.131,,,,,,,,,,,,,
Myanmar,0.713,0.341,0.601,0.520,0.178,1.407,,,,,,,,,,,,,
Jordan,0.685,0.583,0.455,0.079,0.150,1.553,,,,,,,,,,,,,
Chad,0.353,0.000,0.240,0.215,0.084,3.209,,,,,,,,,,,,,
Sri Lanka,0.820,0.593,0.559,0.239,0.049,1.075,,,,,,,,,,,,,
Swaziland,0.693,0.074,0.323,0.067,0.147,2.155,,,,,,,,,,,,,
Comoros,0.367,0.279,0.202,0.241,0.101,2.610,,,,,,,,,,,,,
Egypt,0.647,0.426,0.446,0.069,0.092,1.648,,,,,,,,,,,,,
Ethiopia,0.679,0.331,0.451,0.241,0.114,2.089,,,,,,,,,,,,,
Mauritania,0.749,0.273,0.218,0.119,0.133,2.069,,,,,,,,,,,,,
Madagascar,0.503,0.341,0.207,0.185,0.087,2.620,,,,,,,,,,,,,
Togo,0.239,0.203,0.289,0.209,0.107,2.806,,,,,,,,,,,,,
Zambia,0.552,0.231,0.487,0.227,0.074,1.975,,,,,,,,,,,,,
Sierra Leone,0.377,0.100,0.408,0.243,0.047,2.396,,,,,,,,,,,,,
India,0.316,0.383,0.622,0.246,0.106,1.405,,,,,,,,,,,,,
Burundi,0.062,0.155,0.298,0.172,0.212,2.876,,,,,,,,,,,,,
Yemen,0.831,0.272,0.268,0.092,0.089,1.776,,,,,,,,,,,,,
Tanzania,0.540,0.300,0.549,0.307,0.231,1.263,,,,,,,,,,,,,
Haiti,0.173,0.227,0.257,0.463,0.139,2.060,,,,,,,,,,,,,
Malawi,0.168,0.298,0.484,0.213,0.134,2.190,,,,,,,,,,,,,
Lesotho,0.731,0.007,0.405,0.103,0.015,1.800,,,,,,,,,,,,,
Botswana,0.724,0.340,0.539,0.027,0.088,0.648,,,,,,,,,,,,,
Rwanda,0.202,0.407,0.627,0.227,0.493,1.095,,,,,,,,,,,,,
Zimbabwe,0.649,0.243,0.359,0.157,0.075,1.205,,,,,,,,,,,,,
Afghanistan,0.000,0.126,0.000,0.122,0.010,1.895,,,,,,,,,,,,,
